taxon,gi,ena,description
48890,806459753,KP184518.1,"Poecile palustris voucher CEH14022 mitochondrion, complete genome
"
27923,332347163,JF760210.1,"Mnemiopsis leidyi mitochondrion, complete genome
"
85856,372862229,JN867577.1,"Magnolia denudata voucher BJ007 chloroplast, complete genome
"
9615,583829614,KF926378.1,"Canis lupus familiaris mitochondrion, complete genome
"
150431,300069565,HM446347.1,"Panulirus ornatus mitochondrion, complete genome
"
227356,167030931,EU440735.1,"Tricula hortensis mitochondrion, complete genome
"
96856,90576651,DQ442914.1,"Ligia oceanica mitochondrion, complete genome
"
184239,401667385,JX292787.1,"Crocodylus rhombifer mitochondrion, complete genome
"
106915,154940865,EU084034.1,"Bilobella aurantiaca mitochondrion, complete genome
"
92439,612342248,KJ420577.1,"Siganus guttatus mitochondrion, complete genome
"
172535,807201414,KP728467.1,"Parachromis managuensis mitochondrion, complete genome
"
101700,67005705,DQ080048.1,"Testudo kleinmanni voucher MVZ 230631 mitochondrion, complete genome
"
1491817,618857540,KJ432280.1,"Catocala sp. XY-2014 mitochondrion, complete genome
"
3873,485474291,KC695666.1,"Lupinus luteus chloroplast, complete genome
"
367269,365192607,JQ030887.1,"Amphiprion bicinctus isolate RSRCmb2010 mitochondrion, complete genome
"
1621116,765365949,KP128948.1,"Urocyon littoralis dickeyi isolate 4658582C6A mitochondrion, complete genome
"
129105,574958441,KF824872.1,"Drosophila santomea strain san_Thena5 mitochondrion, complete genome
"
369654,396580971,JX316026.1,"Percocypris pingi mitochondrion, complete genome
"
414717,401786705,JX205495.1,"Pachycladon enysii chloroplast, complete genome
"
37698,13676803,AF358864.1,"Isoodon macrourus mitochondrion, complete genome
"
39090,115345025,AM181031.1,"Phoca largha complete mitochondrial genome
"
356780,324035745,EF192032.2,"Parajulis poecilepterus mitochondrion, complete genome
"
1417367,557469274,KF590527.1,"Euthalia irrubescens isolate N150 mitochondrion, complete genome
"
285237,699975303,KM078764.1,"Serinus albogularis mitochondrion, complete genome
"
7937,319440123,AB038556.2,"Anguilla japonica mitochondrial DNA, complete genome
"
392929,219806965,AP009226.1,"Pseudalutarius nasicornis mitochondrial DNA, complete genome
"
9541,758374102,KM851014.1,"Macaca fascicularis isolate MFAS32 mitochondrion, complete genome
"
9541,758374340,KM851031.1,"Macaca fascicularis isolate MFAS19 mitochondrion, complete genome
"
117505,673540127,KJ806269.1,"Kirchneriella aperta strain SAG 2004 mitochondrion, complete genome
"
34499,347448964,JN392469.1,"Pleurobrachia bachei mitochondrion, complete genome
"
9031,746818331,KP211418.1,"Gallus gallus breed Aseel mitochondrion, complete genome
"
413430,641803917,KJ569362.1,"Nuttallina californica mitochondrion, complete genome
"
980415,555297923,KF701113.1,"Lethenteron camtschaticum mitochondrion, complete genome
"
73288,559769714,KF746366.1,"Helianthus giganteus isolate DB21 plastid, complete genome
"
166114,564736759,KF734668.1,"Bemisia afer mitochondrion, complete genome
"
34278,326457455,JF317356.1,"Gossypium sturtianum chloroplast, complete genome
"
348708,378967468,JQ661414.1,"Coregonus oxyrinchus isolate V7 mitochondrion, complete genome
"
55040,765367909,KP129088.1,"Urocyon cinereoargenteus isolate MVZ_206290 mitochondrion, complete genome
"
1621113,765366831,KP129011.1,"Urocyon littoralis littoralis isolate CHIS-30415 mitochondrion, complete genome
"
262590,635376741,KJ546638.1,"Porites panamensis mitochondrion, complete genome
"
172117,806391992,AP004197.1,"Gigantura indica mitochondrial DNA, almost complete genome
"
1199162,413957382,HE860501.1,"Metacrangonyx goulmimensis, isolate Ousroutou, complete mitochondrial genome
"
304850,311788616,HQ416443.1,"Babylonia areolata mitochondrion, complete genome
"
7965,668349940,KJ729081.1,"Hypophthalmichthys nobilis isolate bh-AKR-3 mitochondrion, complete genome
"
159957,24762254,AF335993.2,"Thrips imaginis mitochondrion, complete genome
"
170203,28804940,AP004108.1,"Retropinna retropinna mitochondrial DNA, complete genome
"
5476,387158662,JQ864234.1,"Candida albicans strain L296 mitochondrion, complete genome
"
13365,403071408,JX402774.1,"Bowenia serrulata chloroplast, complete genome
"
171367,318040010,HQ697280.1,"Triturus pygmaeus voucher ZMA7677-282 mitochondrion, complete genome
"
8226,726965608,KM605252.1,"Katsuwonus pelamis mitochondrion, complete genome
"
114512,573015500,KF753638.1,"Magnolia yunnanensis chloroplast, complete genome
"
571825,705247069,KM100697.1,"Glyphis glyphis isolate GL32_S6 mitochondrion, complete genome
"
8276,15430523,AB043068.1,"Pantodon buchholzi mitochondrial DNA, complete genome
"
381046,675817212,LK392300.1,"Lachancea thermotolerans complete mitochondrial genome, strain DMKU-RK361
"
8665,194739376,EU921899.1,"Ophiophagus hannah mitochondrion, complete genome
"
40888,289645554,GU456628.1,"Anthriscus cerefolium chloroplast, complete genome
"
157316,512393049,KC751569.1,"Massicus raddei mitochondrion, complete genome
"
1547847,686986085,KJ920231.1,"Eriachne stipacea plastid, complete genome
"
577651,523500850,KF011546.1,"Bunostomum phlebotomum mitochondrion, complete genome
"
132609,560187912,KF709435.1,"Nyctereutes procyonoides koreensis mitochondrion, complete genome
"
271359,528750449,KF017572.1,"Candida gigantensis strain NRRL Y-27736 mitochondrion, complete genome
"
202257,56714039,AY833419.1,"Galemys pyrenaicus mitochondrion, complete genome
"
86967,56565400,AP007241.1,"Anguilla interioris mitochondrial DNA, complete genome
"
9733,532693619,KF418379.1,"Orcinus orca isolate ENANS16 mitochondrion, complete genome
"
9913,532693911,KF163065.1,"Bos taurus isolate 7 mitochondrion, complete genome
"
423334,124441764,EF398270.1,"Pyrophorus divergens mitochondrion, complete genome
"
4567,699975982,KM352501.1,"Triticum turgidum subsp. durum cultivar Langdon chloroplast, complete genome
"
33097,454296369,AP012494.1,"Gonium pectorale chloroplast DNA, complete genome, isolate: K3-F3-4
"
1082597,345843311,JN242415.1,"Ricania marginalis mitochondrion, complete genome
"
432341,563323218,KF720334.1,"Nobia grandis mitochondrion, complete genome
"
5833,66716581,X95276.2,"Plasmodium falciparum complete gene map of plastid-like DNA (IR-B)
"
518691,544590457,KF437625.2,"Ursus deningeri mitochondrion, partial genome
"
126650,557637832,KF611806.1,"Perinereis aibuhitensis mitochondrion, complete genome
"
61384,303386850,GQ979707.3,"Lynx rufus mitochondrion, complete genome
"
9615,597568789,KJ139387.1,"Canis lupus familiaris isolate 1676_GTAR4 mitochondrion, complete genome
"
78191,134286377,AP009369.1,"Arabis hirsuta chloroplast DNA, complete sequence
"
1621113,765366915,KP129017.1,"Urocyon littoralis littoralis isolate CHIS-30459 mitochondrion, complete genome
"
599730,528750283,KC993192.1,"Wickerhamomyces pijperi strain CBS 2887 mitochondrion, complete genome
"
37011,346227676,JN191211.1,"Pan troglodytes troglodytes isolate Doris mitochondrion, complete genome
"
412649,288909065,AB282853.1,"Rhynchactis macrothrix mitochondrial DNA, complete genome
"
70448,525315581,KC967305.1,"Ostreococcus tauri isolate RCC1559 mitochondrion, complete genome
"
121214,298677214,HM367070.1,"Opilio parietinus mitochondrion, complete genome
"
104659,253960393,AB498064.1,"Oryzias luzonensis mitochondrial DNA, complete genome
"
1663115,648933793,KJ629166.1,"Lobocla bifasciatus voucher LB1234 mitochondrion, complete genome
"
604432,224037274,FJ752492.1,"Viridovipera stejnegeri stejnegeri mitochondrion, complete genome
"
13677,55166591,AB120717.1,"Scomber scombrus mitochondrial DNA, complete genome
"
7950,426259667,KC193709.1,"Clupea harengus isolate FI_VAASA_34 mitochondrion, complete genome
"
9770,507589682,KC572790.1,"Balaenoptera physalus isolate 67327 mitochondrion, complete genome
"
1523625,667670318,KJ806277.1,"Camellia pubicosta chloroplast, complete genome
"
37011,350994672,JF727177.1,"Pan troglodytes troglodytes isolate Golfi mitochondrion, complete genome
"
146652,407030313,JX513416.1,"Fargesia nitida chloroplast, complete genome
"
43925,613433536,KJ410684.1,"Nannochloropsis oculata strain CCMP525 chloroplast, complete genome
"
51239,657406434,KJ566306.1,"Vanilla planifolia chloroplast, complete genome
"
86250,641803889,KJ595342.1,"Oxyeleotris marmorata mitochondrion, complete genome
"
327774,394986977,JX135579.1,"Hyporthodus octofasciatus mitochondrion, complete genome
"
9796,426261163,KC202992.1,"Equus caballus haplotype L16 mitochondrion, complete genome
"
8039,659680982,KJ746618.1,"Salvelinus malma isolate SMM208 mitochondrion, complete genome
"
86797,115279623,DQ995281.1,"Bactrocera philippinensis mitochondrion, complete genome
"
370040,641804234,KJ622047.1,"Liza haematocheila mitochondrion, complete genome
"
309358,731446456,KM675818.1,"Saccharina latissima strain ye-C14 mitochondrion, complete genome
"
185883,672349253,LK022697.1,"Pterois miles mitochondrial complete genome
"
1313225,473184896,JX535019.1,"Hyattella sinuosa isolate LCJ04 mitochondrion, complete genome
"
9615,723429097,KM061515.1,"Canis lupus familiaris isolate Cf_nk14 mitochondrion, complete genome
"
749910,661245158,AB905199.1,"Taenia arctos mitochondrial DNA, complete genome
"
240496,47604817,AB126701.1,"Tetraclita japonica mitochondrial DNA, complete genome
"
509065,189164558,EU728593.1,"Hypsiglena chlorophaea chlorophaea voucher MVZ 237359 mitochondrion, complete genome
"
5142,4877817,AF133505.1,"Neurospora intermedia mitochondrial plasmid Harbin-3, complete plasmid sequence
"
1264587,393191332,JX065416.1,"Glomus sp. DAOM 229456 mitochondrion, complete genome
"
9649,155368555,AM711897.1,"Ailurus fulgens complete mitochondrial genome
"
119071,594009674,HG942175.1,"Geocharax gracilis mitochondrion, isolate MBS084, complete genome
"
5855,529217677,JQ240336.1,"Plasmodium vivax isolate 200611 mitochondrion, complete genome
"
149982,29501052,AB054126.1,"Lefua echigonia mitochondrial DNA, complete genome
"
165444,597568932,KJ144818.1,"Arconaia lanceolata mitochondrion, complete genome
"
694456,270048332,GU176344.1,"Euspilotus scissus mitochondrion, complete genome
"
1333460,511262620,KC823607.1,"Channa maculata x Channa argus mitochondrion, complete genome
"
571825,705246313,KM100643.1,"Glyphis glyphis isolate GLA003_S13 mitochondrion, complete genome
"
41426,88766360,DQ409327.1,"Phacochoerus africanus mitochondrion, complete genome
"
7004,364503777,JN858155.1,"Locusta migratoria isolate Dag_Tianj_Chin mitochondrion, complete genome
"
60187,15100097,AF404306.1,"Rhizophydium sp. 136 mitochondrion, complete genome
"
44477,628819968,KJ396186.1,"Apis mellifera mellifera isolate 16.1.5 mitochondrion, complete genome
"
8222,207081456,FJ211845.1,"Gillichthys mirabilis mitochondrion, complete genome
"
36592,442566132,KC180769.1,"Eucalyptus obliqua chloroplast, complete genome
"
5308,441414373,HE613568.1,"Phlebia radiata strain 79 mitochondrion, complete genome
"
55553,343403883,JN244650.1,"Tridentiger bifasciatus mitochondrion, complete genome
"
181119,301016342,HM535648.1,"Pseudopodoces humilis mitochondrion, complete genome
"
51316,320335985,HQ702483.1,"Eimeria praecox mitochondrion, complete genome
"
6426,675296197,KJ789166.1,"Riftia pachyptila mitochondrion, complete genome
"
260624,332346711,JF742646.1,"Heosemys annandalii mitochondrion, complete genome
"
5141,3023,X55361.1,"N. crassa mitochondrial linear plasmid (maranhar) DNA for putative RNA and DNA polymerase
"
1047171,155964387,EU090238.1,"Mycosphaerella graminicola mitochondrion, complete genome
"
268618,284794218,GQ996415.1,"Potamopyrgus estuarinus mitochondrion, complete genome
"
1415579,555945811,KF540159.1,"Microcaecilia dermatophaga mitochondrion, complete genome
"
1304801,465481279,KC513737.1,"Amata formosae mitochondrion, complete genome
"
219677,564736773,KF734881.1,"Rhynchocypris lagowskii mitochondrion, complete genome
"
105023,187424019,EU650204.1,"Nothobranchius furzeri strain GRZ mitochondrion, complete genome
"
37010,350994890,JF727193.1,"Pan troglodytes schweinfurthii isolate Megan mitochondrion, complete genome
"
61970,597955506,KJ174513.1,"Acipenser sinensis mitochondrion, complete genome
"
45450,409031651,JX913740.1,"Chrysomya rufifacies strain DI215 mitochondrion, complete genome
"
9796,426261471,KC203014.1,"Equus caballus haplotype L36 mitochondrion, complete genome
"
4521,410178006,JX871942.1,"Lolium multiflorum plastid, complete genome
"
46265,84371477,DQ343650.1,"Enhydris plumbea mitochondrion, complete genome
"
100937,445163468,JX946203.2,"Papio papio mitochondrion, complete genome
"
9770,507588884,KC572733.1,"Balaenoptera physalus isolate 30478 mitochondrion, complete genome
"
86220,25006194,AP004454.1,"Rhyacichthys aspro mitochondrial DNA, complete genome
"
44415,357197231,JN864949.1,"Eimeria mitis mitochondrion, complete genome
"
6161,359804100,AB618487.1,"Dugesia japonica mitochondrial DNA, complete genome
"
1170231,383867152,JQ713564.1,"Sphaerotheriidae sp. HYS-2012 mitochondrion, complete genome
"
9823,460418124,KC493612.1,"Sus scrofa isolate T6 mitochondrion, complete genome
"
1457305,578003841,KF913541.1,"Peirates lepturoides mitochondrion, complete genome
"
1621115,765366313,KP128974.1,"Urocyon littoralis santacruzae isolate M562 mitochondrion, complete genome
"
129247,310619338,HQ333255.1,"Apodemus draco mitochondrion, complete genome
"
373956,553829906,KF437504.1,"Halocaridina rubra strain East Hawaii mitochondrion, complete genome
"
7950,426260227,KC193749.1,"Clupea harengus isolate EE_MUDASTE_1 mitochondrion, complete genome
"
7962,634744421,KJ511883.1,"Cyprinus carpio mitochondrion, complete genome
"
658384,253807640,GQ337955.1,"Abidama producta mitochondrion, complete genome
"
182317,388893362,JQ975032.1,"Camellia taliensis plastid, complete genome
"
407122,118457448,DQ991929.1,"Berthellina sp. TLT-2006 mitochondrion, complete genome
"
741158,291622149,FN673705.1,"Homo sp. Altai complete mitochondrial genome sequence from Denisova, Altai Russia
"
1358439,743182070,KM676414.1,"Ravinia pernix mitochondrion, complete genome
"
91712,317176425,AP009502.1,"Petrocephalus soudanensis mitochondrial DNA, complete genome
"
9116,224504163,FJ769854.1,"Grus antigone mitochondrion, complete genome
"
66065,372861855,JQ234674.1,"Bunostomum trigonocephalum mitochondrion, complete genome
"
50037,673540070,KJ806266.1,"Bracteacoccus minor strain UTEX B66 mitochondrion, complete genome
"
9913,355330789,JN817316.1,"Bos taurus isolate Chi575 mitochondrion, complete genome
"
34575,814557046,KP892752.1,"Allonautilus scrobiculatus voucher AMNH:AMCC224119 mitochondrion, complete genome
"
29073,397174979,JX196376.1,"Ursus maritimus isolate PB2-N23604 mitochondrion, complete genome
"
9796,426260939,KC202976.1,"Equus caballus haplotype I16 mitochondrion, complete genome
"
34273,290775771,GU907100.1,"Gossypium thurberi chloroplast, complete genome
"
5833,672443514,KJ569487.1,"Plasmodium falciparum isolate SUR9 mitochondrion, complete genome
"
51918,528750249,KC993190.1,"Candida vartiovaarae strain CBS 4289 mitochondrion, complete genome
"
1231042,197304232,AB370891.1,"Oryzias sarasinorum mitochondrial DNA, complete genome
"
65462,478248192,JX624729.1,"Ascaridia columbae mitochondrion, complete genome
"
36066,449326973,KC573037.1,"Cantharellus cibarius mitochondrion, complete genome
"
157325,238550495,FJ424074.1,"Psacothea hilaris mitochondrion, complete genome
"
91950,262399607,GU112742.1,"Pan troglodytes vellerosus isolate ISIS #2412 mitochondrion, complete genome
"
58317,446512570,AP009304.1,"Blicca bjoerkna mitochondrial DNA, complete genome
"
182780,115279588,DQ993168.1,"Beryx mollis mitochondrion, complete sequence
"
9644,357593929,HQ685912.1,"Ursus arctos isolate 12 mitochondrion, complete genome
"
1621118,765365669,KP128928.1,"Urocyon littoralis clementae isolate 985120030920834 mitochondrion, complete genome
"
10224,50511949,AY336131.1,"Saccoglossus kowalevskii mitochondrion, complete genome
"
9615,723429223,KM061524.1,"Canis lupus familiaris isolate Cf_nk4 mitochondrion, complete genome
"
394686,444299494,AB734123.1,"Helicolenus avius mitochondrial DNA, complete genome, isolate: Havi-YT-2012
"
264151,89885690,AP006744.1,"Canthigaster rivulata mitochondrial DNA, complete genome
"
531291,302375416,HM778032.1,"Cheilanthes lindheimeri chloroplast, complete genome
"
5855,529217701,JQ240342.1,"Plasmodium vivax isolate 200621 mitochondrion, complete genome
"
1522179,666669514,AB973945.1,"Asterionellopsis glacialis RNA virus genomic RNA, complete genome, isolate: AglaRNAV
"
115424,409031637,JX913739.1,"Chrysomya megacephala strain DI219 mitochondrion, complete genome
"
61622,723005447,KM504390.1,"Rhinopithecus roxellana mitochondrion, complete genome
"
9305,403488359,JX475456.1,"Sarcophilus harrisii isolate TD197 mitochondrion, complete genome
"
262124,201066590,EU725864.1,"Hemiphaga novaeseelandiae mitochondrion, complete genome
"
7938,597440072,KJ564197.1,"Anguilla rostrata isolate RB_Y_19 mitochondrion, complete genome
"
5855,403488315,JX444723.1,"Plasmodium vivax isolate B' mitochondrion, complete genome
"
88112,375066055,JQ322641.1,"Alauda arvensis mitochondrion, complete genome
"
2771,6466296,AF022186.2,"Cyanidium caldarium strain RK1 chloroplast, complete genome
"
208524,283049021,GU261693.1,"Gallus gallus spadiceus isolate DHZ1 breed Red jungle fowl mitochondrion, complete genome
"
13632,409031861,JX913755.1,"Lucilia sericata strain DI220 mitochondrion, complete genome
"
68509,16266772,AP002915.1,"Chauliodus sloani mitochondrial DNA, complete genome, except for D-loop
"
49827,532693444,KF201590.1,"Glycyrrhiza glabra chloroplast, complete genome
"
6526,34538615,AY380567.1,"Biomphalaria glabrata strain M-line mitochondrion, complete genome
"
215347,670800324,KJ700439.1,"Epinephelus akaara isolate BukbariG01 mitochondrion, complete genome
"
280850,309321933,HQ337797.1,"Bambusa emeiensis chloroplast, complete genome
"
9615,723429139,KM061518.1,"Canis lupus familiaris isolate Cf_nk17 mitochondrion, complete genome
"
103483,769471205,KP301144.1,"Quercus aliena chloroplast, complete genome
"
48706,154100270,EU016195.1,"Orchesella villosa mitochondrion, complete genome
"
569430,510021536,HF548558.1,"Halocynthia spinosa complete mitochondrial genome, specimen voucher TAU:AS25497
"
68415,347802065,JN632662.1,"Moschus moschiferus isolate MA1177 mitochondrion, complete genome
"
401704,114177217,DQ889457.1,"Placozoan sp. BZ49 mitochondrion, complete genome
"
181445,25005929,AP004435.1,"Allocyttus niger mitochondrial DNA, complete genome
"
30532,347801603,JN632629.1,"Dama dama isolate CYTO mitochondrion, complete genome
"
171798,378744518,JQ406951.1,"Chitra indica mitochondrion, complete genome
"
280162,215789089,FJ456950.1,"Ochterus marginatus mitochondrion, complete genome
"
352917,452088575,KC306507.1,"Pseudohemiculter dispar mitochondrion, complete genome
"
1258561,414146009,JQ999995.1,"Tarragoilus diuturnus mitochondrion, complete genome
"
1621117,765367461,KP129056.1,"Urocyon littoralis catalinae isolate 97686 mitochondrion, complete genome
"
73285,559768510,KF746352.1,"Helianthus divaricatus isolate DB07 plastid, complete genome
"
260499,612407910,KJ398158.1,"Asparagopsis taxiformis strain CCAP 1341/1 mitochondrion, complete genome
"
10068,349501794,JN571146.1,"Acomys cahirinus isolate A51 mitochondrion, complete genome
"
9894,223972303,AP003424.1,"Giraffa camelopardalis mitochondrial DNA, complete genome
"
34875,347802597,JN632700.1,"Saiga tatarica isolate KOLN mitochondrion, complete genome
"
7965,668350080,KJ729091.1,"Hypophthalmichthys nobilis isolate MKY-bh-19 mitochondrion, complete genome
"
5833,618625432,KJ418724.1,"Plasmodium falciparum isolate Goa2 mitochondrion, complete genome
"
6266,188593326,AM411622.1,"Toxocara cati complete mitochondrial genome
"
13721,229619880,AB470302.1,"Tetrapturus audax mitochondrial DNA, complete genome
"
9541,758374158,KM851018.1,"Macaca fascicularis isolate MFAS8 mitochondrion, complete genome
"
329116,403225414,JX444718.1,"Tor tambroides mitochondrion, complete genome
"
9796,347361523,JN398394.1,"Equus caballus isolate 18_Syr01 mitochondrion, complete genome
"
30603,238809299,AB371088.1,"Eulemur macaco macaco mitochondrial DNA, complete genome
"
507508,169649110,EU523756.1,"Uroctonus mordax mitochondrion, complete genome
"
1429434,560188103,KF703442.1,"Hemibarbus sp. 'Taiwanese barbel steed' mitochondrion, complete genome
"
224329,346421787,JN540032.1,"Rhinopithecus brelichi mitochondrion, complete genome
"
7936,56565288,AP007233.1,"Anguilla anguilla mitochondrial DNA, complete genome
"
129105,574958385,KF824868.1,"Drosophila santomea strain san_sto18 mitochondrion, complete genome
"
27788,399886762,JX454991.1,"Lepidochelys olivacea isolate CGG-01Lol mitochondrion, complete genome
"
864177,304556709,HM991333.1,"Pseudhymenochirus merlini mitochondrion, complete genome
"
691797,370989523,AP011603.1,"Gudusia chapra mitochondrial DNA, complete genome
"
143328,16267003,AP002929.1,"Coelorinchus kishinouyei mitochondrial DNA, complete genome, except for D-loop
"
797158,387175351,HM243589.1,"Celastrina hersilia mitochondrion, complete genome
"
424585,152962719,AB291074.1,"Ailurus fulgens styani mitochondrial DNA, complete genome
"
71578,251766024,GQ292768.1,"Panulirus stimpsoni mitochondrion, complete genome
"
62778,291463867,GU945504.1,"Physemacris variolosa mitochondrion, complete genome
"
9770,507590648,KC572859.1,"Balaenoptera physalus isolate 94607 mitochondrion, complete genome
"
5791,9712199,AB027295.1,"Physarum polycephalum mitochondrial DNA, complete genome
"
1621113,765366789,KP129008.1,"Urocyon littoralis littoralis isolate CHIS-30392 mitochondrion, complete genome
"
103699,117649893,EF090421.1,"Chlamydosaurus kingii haplotype Marrakai Road 5 mitochondrion, complete genome
"
74926,90576882,DQ453753.1,"Mauremys mutica mitochondrion, complete genome
"
85123,75214337,DQ191682.1,"Gonodactylus chiragra mitochondrion, complete genome
"
9739,557468698,KF570352.1,"Tursiops truncatus isolate SCO5 mitochondrion, complete genome
"
1459801,584297502,KF932266.1,"Cyprinus carpio 'longfin' mitochondrion, complete genome
"
9970,373446912,JQ235537.1,"Syncerus caffer isolate 3488 mitochondrion, complete genome
"
303997,338797125,AP011987.1,"Ctenolucius hujeta mitochondrial DNA, almost complete genome
"
171793,329755815,JF719809.1,"Pelochelys cantorii mitochondrion, complete genome
"
9913,306977323,HQ184034.1,"Bos taurus isolate Rom534 mitochondrion, complete genome
"
9874,309399252,HQ332445.1,"Odocoileus virginianus mitochondrion, complete genome
"
9770,507589458,KC572774.1,"Balaenoptera physalus isolate 43924 mitochondrion, complete genome
"
338575,591289843,KJ000047.1,"Echinochloa crus-galli var. crus-galli chloroplast, complete genome
"
7004,364503763,JN858154.1,"Locusta migratoria isolate Hul_Liaon_Chin3 mitochondrion, complete genome
"
380747,281428418,GU130250.1,"Caprella mutica mitochondrion, complete genome
"
588596,481047956,KC164354.1,"Rhizophagus irregularis voucher DAOM:234179 mitochondrion, complete genome
"
1069380,441416057,AP012249.1,"Solivomer arenidens mitochondrial DNA, almost complete genome
"
215347,723005750,KM458971.1,"Epinephelus akaara mitochondrion, complete genome
"
507543,317106957,AB556947.1,"Pristomyrmex punctatus mitochondrial DNA, complete genome, country: Japan: Gifu, Kii-Nagashima
"
515817,89000880,AB240156.1,"Amphioctopus fangsiao mitochondrial DNA, complete genome
"
43334,347801981,JN632656.1,"Mazama americana isolate MAZ9472 mitochondrion, complete genome
"
9796,347361383,JN398384.1,"Equus caballus isolate 8_Syr02 mitochondrion, complete genome
"
7950,426260003,KC193733.1,"Clupea harengus isolate DE_KIEL_2 mitochondrion, complete genome
"
1621115,765366075,KP128957.1,"Urocyon littoralis santacruzae isolate M226 mitochondrion, complete genome
"
9888,28207776,AY225986.1,"Muntiacus muntjak mitochondrion, complete genome
"
7950,426260199,KC193747.1,"Clupea harengus isolate EE_MUUGA_4 mitochondrion, complete genome
"
83281,671760516,KJ944246.1,"Propithecus diadema isolate TSINJ49 mitochondrion, complete genome
"
869458,304365558,HM640213.1,"Geotrygon violacea mitochondrion, complete genome
"
33543,54019657,AJ639865.1,"Zaglossus bruijni complete mitochondrial genome
"
443640,190715156,AP009404.1,"Maulisia mauli mitochondrial DNA, complete genome
"
9913,306977309,HQ184033.1,"Bos taurus isolate Rom550 mitochondrion, complete genome
"
7965,669034448,KJ746958.1,"Hypophthalmichthys nobilis isolate BH_Pool20_111 mitochondrion, complete genome
"
7792,16030050,AJ310141.1,"Heterodontus francisci complete mitochondrial genome
"
59291,378968210,JQ661467.1,"Coregonus lavaretus isolate N9 mitochondrion, complete genome
"
1621118,765367741,KP129076.1,"Urocyon littoralis clementae isolate 985120028551893 mitochondrion, complete genome
"
9615,723429405,KM061537.1,"Canis lupus familiaris isolate Cf_pl50 mitochondrion, complete genome
"
126671,53749074,AP006567.1,"Chlorurus sordidus mitochondrial DNA, complete genome
"
9794,298289262,HM118851.1,"Equus hemionus mitochondrion, complete genome
"
88036,254941461,FJ755183.1,"Selaginella moellendorffii plastid, complete genome
"
1069815,310777645,HQ283348.1,"Anodonta woodiana isolate AW125 mitochondrion, complete genome
"
5855,355330477,JN788762.1,"Plasmodium vivax isolate Madagascar9b mitochondrion, complete genome
"
571825,705247041,KM100695.1,"Glyphis glyphis isolate GL27_S53 mitochondrion, complete genome
"
9694,755573648,KJ508412.2,"Panthera tigris isolate WEFCOM mitochondrion, complete genome
"
291816,119225541,AP009060.1,"Culter mongolicus mitochondrial DNA, complete genome
"
146913,727826214,KM508815.1,"Hemidactylus bowringii voucher HB201409 mitochondrion, complete genome
"
9796,426261233,KC202997.1,"Equus caballus haplotype L20 mitochondrion, complete genome
"
9468,238809383,AB371094.1,"Loris tardigradus mitochondrial DNA, complete genome
"
3159,4378766,AF116775.1,"Pedinomonas minor mitochondrion, complete genome
"
461137,297501438,AP011824.1,"Sasakia charonda mitochondrial DNA, complete genome
"
9913,294959900,GU947013.1,"Bos taurus isolate H1037 mitochondrion, complete genome
"
96741,397174518,AB610502.1,"Hemitheconyx caudicinctus mitochondrial DNA, complete genome
"
381046,675817239,LK392303.1,"Lachancea thermotolerans complete mitochondrial genome, strain UWOPS 83-1097.1
"
118177,271280781,AP010864.1,"Nettastoma parviceps mitochondrial DNA, complete genome
"
9644,357593873,HQ685908.1,"Ursus arctos isolate 8 mitochondrion, complete genome
"
173221,371572147,JQ071618.1,"Tachycineta stolzmanni mitochondrion, complete genome
"
27604,38602431,AJ554052.1,"Caperea marginata complete mitochondrial genome
"
129225,347801421,JN632616.1,"Cephalophus jentinki isolate SUN mitochondrion, complete genome
"
1193064,511262112,KC822643.1,"Tachysurus nitidus mitochondrion, complete genome
"
1621116,765365921,KP128946.1,"Urocyon littoralis dickeyi isolate 47237B1B0B mitochondrion, complete genome
"
9031,283049371,GU261718.1,"Gallus gallus isolate 20332 breed Lv'erwu mitochondrion, complete genome
"
9796,347361915,JN398422.1,"Equus caballus isolate 47_AkT09 mitochondrion, complete genome
"
9644,357594545,HQ685956.1,"Ursus arctos isolate 56 mitochondrion, complete genome
"
5693,85718082,DQ343646.1,"Trypanosoma cruzi strain Esmeraldo kinetoplast maxicircle, complete sequence
"
367368,496537105,KC692463.1,"Pelusios castaneus voucher AHNU26080283 mitochondrion, complete genome
"
1621118,765365725,KP128932.1,"Urocyon littoralis clementae isolate 985120032123337 mitochondrion, complete genome
"
405043,449713820,HE963749.1,"Trithuria inconspicua complete chloroplast genome
"
47446,684184745,KJ871001.1,"Chusquea liebmannii voucher ISC<USA-IA>:Clark & Attigala 1710 plastid, complete genome
"
201498,668348669,KJ711549.1,"Hucho taimen isolate Ht9 mitochondrion, complete genome
"
1041165,334884213,JF927830.1,"Gorpis humeralis mitochondrion, complete genome
"
7936,597440394,KJ564220.1,"Anguilla anguilla isolate RH_G_13 mitochondrion, complete genome
"
741158,315466581,FR695060.1,"Homo sp. Altai complete mitochondrial genome, isolate Denisova molar
"
59291,378967804,JQ661438.1,"Coregonus lavaretus isolate F7 mitochondrion, complete genome
"
9615,723429265,KM061527.1,"Canis lupus familiaris isolate Cf_nk7 mitochondrion, complete genome
"
9555,445163582,JX946197.2,"Papio anubis isolate west1 mitochondrion, complete genome
"
9902,347801225,JN632602.1,"Bison bonasus isolate CYTO mitochondrion, complete genome
"
334873,615292204,KJ418377.1,"Pampus chinensis mitochondrion, complete genome
"
37012,346227984,JN191233.1,"Pan troglodytes verus isolate 12122Linda mitochondrion, complete genome
"
